id,nama_gambar,aktivitas,warna_dominan,hijab,undertone
0001,img0001.jpg,coffee_shop_hopping,beige,ya,neutral
0002,img0002.jpg,coffee_shop_hopping,beige,ya,neutral
0003,img0003.jpg,coffee_shop_hopping,beige,ya,neutral
0004,img0004.jpg,coffee_shop_hopping,beige,ya,neutral
0005,img0005.jpg,coffee_shop_hopping,beige,ya,neutral
0006,img0006.jpg,coffee_shop_hopping,beige,ya,neutral
0007,img0007.jpg,coffee_shop_hopping,beige,tidak,neutral
0008,img0008.jpg,coffee_shop_hopping,beige,ya,neutral
0009,img0009.jpg,coffee_shop_hopping,beige,ya,neutral
0010,img0010.jpg,coffee_shop_hopping,beige,tidak,neutral
0011,img0011.jpg,coffee_shop_hopping,beige,tidak,neutral
0012,img0012.jpg,coffee_shop_hopping,beige,tidak,neutral
0013,img0013.jpg,coffee_shop_hopping,beige,tidak,neutral
0014,img0014.jpg,coffee_shop_hopping,beige,tidak,neutral
0015,img0015.jpg,coffee_shop_hopping,beige,tidak,neutral
0016,img0016.jpg,coffee_shop_hopping,beige,tidak,neutral
0017,img0017.jpg,coffee_shop_hopping,beige,tidak,neutral
0018,img0018.jpg,coffee_shop_hopping,beige,tidak,neutral
0019,img0019.jpg,coffee_shop_hopping,beige,ya,neutral
0020,img0020.jpg,coffee_shop_hopping,beige,ya,neutral
0021,img0021.jpg,coffee_shop_hopping,beige,ya,neutral
0022,img0022.jpg,coffee_shop_hopping,beige,ya,neutral
0023,img0023.jpg,coffee_shop_hopping,beige,ya,neutral
0024,img0024.jpg,coffee_shop_hopping,beige,ya,neutral
0025,img0025.jpg,coffee_shop_hopping,beige,ya,neutral
0026,img0026.jpg,coffee_shop_hopping,beige,ya,neutral
0027,img0027.jpg,coffee_shop_hopping,beige,ya,neutral
0028,img0028.jpg,coffee_shop_hopping,beige,tidak,neutral
0029,img0029.jpg,coffee_shop_hopping,beige,ya,neutral
0030,img0030.jpg,coffee_shop_hopping,beige,tidak,neutral
0031,img0031.jpg,coffee_shop_hopping,beige,ya,neutral
0032,img0032.jpg,coffee_shop_hopping,beige,tidak,neutral
0033,img0033.jpg,coffee_shop_hopping,beige,ya,neutral
0034,img0034.jpg,coffee_shop_hopping,beige,ya,neutral
0035,img0035.jpg,coffee_shop_hopping,beige,tidak,neutral
0036,img0036.jpg,coffee_shop_hopping,beige,ya,neutral
0037,img0037.jpg,coffee_shop_hopping,beige,tidak,neutral
0038,img0038.jpg,coffee_shop_hopping,beige,ya,neutral
0039,img0039.jpg,coffee_shop_hopping,beige,tidak,neutral
0040,img0040.jpg,coffee_shop_hopping,beige,ya,neutral
0041,img0041.jpg,coffee_shop_hopping,beige,ya,neutral
0042,img0042.jpg,coffee_shop_hopping,beige,tidak,neutral
0043,img0043.jpg,coffee_shop_hopping,beige,tidak,neutral
0044,img0044.jpg,coffee_shop_hopping,beige,ya,neutral
0045,img0045.jpg,coffee_shop_hopping,beige,ya,neutral
0046,img0046.jpg,coffee_shop_hopping,beige,ya,neutral
0047,img0047.jpg,coffee_shop_hopping,beige,ya,neutral
0048,img0048.jpg,coffee_shop_hopping,beige,tidak,neutral
0049,img0049.jpg,coffee_shop_hopping,beige,ya,neutral
0050,img0050.jpg,coffee_shop_hopping,beige,ya,neutral
0051,img0051.jpg,coffee_shop_hopping,beige,tidak,neutral
0052,img0052.jpg,coffee_shop_hopping,beige,tidak,neutral
0053,img0053.jpg,coffee_shop_hopping,beige,ya,neutral
0054,img0054.jpg,coffee_shop_hopping,beige,ya,neutral
0055,img0055.jpg,coffee_shop_hopping,beige,ya,neutral
0056,img0056.jpg,coffee_shop_hopping,beige,ya,neutral
0057,img0057.jpg,coffee_shop_hopping,beige,ya,neutral
0058,img0058.jpg,coffee_shop_hopping,beige,tidak,neutral
0059,img0059.jpg,coffee_shop_hopping,beige,ya,neutral
0060,img0060.jpg,coffee_shop_hopping,beige,ya,neutral
0061,img0061.jpg,coffee_shop_hopping,beige,ya,neutral
0062,img0062.jpg,coffee_shop_hopping,beige,ya,neutral
0063,img0063.jpg,coffee_shop_hopping,beige,ya,neutral
0064,img0064.jpg,coffee_shop_hopping,beige,ya,neutral
0065,img0065.jpg,coffee_shop_hopping,beige,tidak,neutral
0066,img0066.jpg,coffee_shop_hopping,beige,tidak,neutral
0067,img0067.jpg,coffee_shop_hopping,beige,tidak,neutral
0068,img0068.jpg,coffee_shop_hopping,beige,ya,neutral
0069,img0069.jpg,coffee_shop_hopping,beige,ya,neutral
0070,img0070.jpg,coffee_shop_hopping,beige,ya,neutral
0071,img0071.jpg,coffee_shop_hopping,beige,tidak,neutral
0072,img0072.jpg,coffee_shop_hopping,beige,ya,neutral
0073,img0073.jpg,dinner,beige,ya,neutral
0074,img0074.jpg,dinner,beige,tidak,neutral
0075,img0075.jpg,dinner,beige,ya,neutral
0076,img0076.jpg,dinner,beige,ya,neutral
0077,img0077.jpg,dinner,beige,ya,neutral
0078,img0078.jpg,dinner,beige,ya,neutral
0079,img0079.jpg,dinner,beige,ya,neutral
0080,img0080.jpg,dinner,beige,ya,neutral
0081,img0081.jpg,dinner,beige,ya,neutral
0082,img0082.jpg,dinner,beige,tidak,neutral
0083,img0083.jpg,dinner,beige,tidak,neutral
0084,img0084.jpg,dinner,beige,tidak,neutral
0085,img0085.jpg,dinner,beige,tidak,neutral
0086,img0086.jpg,dinner,beige,tidak,neutral
0087,img0087.jpg,dinner,beige,tidak,neutral
0088,img0088.jpg,dinner,beige,tidak,neutral
0089,img0089.jpg,dinner,beige,ya,neutral
0090,img0090.jpg,dinner,beige,tidak,neutral
0091,img0091.jpg,dinner,beige,tidak,neutral
0092,img0092.jpg,dinner,beige,ya,neutral
0093,img0093.jpg,dinner,beige,tidak,neutral
0094,img0094.jpg,dinner,beige,tidak,neutral
0095,img0095.jpg,dinner,beige,ya,neutral
