embedding_index,id,nama_gambar
0,1,img0001.jpg
1,2,img0002.jpg
2,3,img0003.jpg
3,4,img0004.jpg
4,5,img0005.jpg
5,6,img0006.jpg
6,7,img0007.jpg
7,8,img0008.jpg
8,9,img0009.jpg
9,10,img0010.jpg
10,11,img0011.jpg
11,12,img0012.jpg
12,13,img0013.jpg
13,14,img0014.jpg
14,15,img0015.jpg
15,16,img0016.jpg
16,17,img0017.jpg
17,18,img0018.jpg
18,19,img0019.jpg
19,20,img0020.jpg
20,21,img0021.jpg
21,22,img0022.jpg
22,23,img0023.jpg
23,24,img0024.jpg
24,25,img0025.jpg
25,26,img0026.jpg
26,27,img0027.jpg
27,28,img0028.jpg
28,29,img0029.jpg
29,30,img0030.jpg
30,31,img0031.jpg
31,32,img0032.jpg
32,33,img0033.jpg
33,34,img0034.jpg
34,35,img0035.jpg
35,36,img0036.jpg
36,37,img0037.jpg
37,38,img0038.jpg
38,39,img0039.jpg
39,40,img0040.jpg
40,41,img0041.jpg
41,42,img0042.jpg
42,43,img0043.jpg
43,44,img0044.jpg
44,45,img0045.jpg
45,46,img0046.jpg
46,47,img0047.jpg
47,48,img0048.jpg
48,49,img0049.jpg
49,50,img0050.jpg
50,51,img0051.jpg
51,52,img0052.jpg
52,53,img0053.jpg
53,54,img0054.jpg
54,55,img0055.jpg
55,56,img0056.jpg
56,57,img0057.jpg
57,58,img0058.jpg
58,59,img0059.jpg
59,60,img0060.jpg
60,61,img0061.jpg
61,62,img0062.jpg
62,63,img0063.jpg
63,64,img0064.jpg
64,65,img0065.jpg
65,66,img0066.jpg
66,67,img0067.jpg
67,68,img0068.jpg
68,69,img0069.jpg
69,70,img0070.jpg
70,71,img0071.jpg
71,72,img0072.jpg
72,73,img0073.jpg
73,74,img0074.jpg
74,75,img0075.jpg
75,76,img0076.jpg
76,77,img0077.jpg
77,78,img0078.jpg
78,79,img0079.jpg
79,80,img0080.jpg
80,81,img0081.jpg
81,82,img0082.jpg
82,83,img0083.jpg
83,84,img0084.jpg
84,85,img0085.jpg
85,86,img0086.jpg
86,87,img0087.jpg
87,88,img0088.jpg
88,89,img0089.jpg
89,90,img0090.jpg
90,91,img0091.jpg
91,92,img0092.jpg
92,93,img0093.jpg
93,94,img0094.jpg
94,95,img0095.jpg
95,96,img0096.jpg
96,97,img0097.jpg
97,98,img0098.jpg
98,99,img0099.jpg
99,100,img0100.jpg
100,101,img0101.jpg
101,102,img0102.jpg
102,103,img0103.jpg
103,104,img0104.jpg
104,105,img0105.jpg
105,106,img0106.jpg
106,107,img0107.jpg
107,108,img0108.jpg
108,109,img0109.jpg
109,110,img0110.jpg
110,111,img0111.jpg
111,112,img0112.jpg
112,113,img0113.jpg
113,114,img0114.jpg
114,115,img0115.jpg
115,116,img0116.jpg
116,117,img0117.jpg
117,118,img0118.jpg
118,119,img0119.jpg
119,120,img0120.jpg
120,121,img0121.jpg
121,122,img0122.jpg
122,125,img0125.jpg
123,126,img0126.jpg
124,128,img0128.jpg
125,132,img0132.jpg
126,135,img0135.jpg
127,137,img0137.jpg
128,138,img0138.jpg
129,139,img0139.jpg
130,140,img0140.jpg
131,141,img0141.jpg
132,143,img0143.jpg
133,145,img0145.jpg
134,146,img0146.jpg
135,148,img0148.jpg
136,149,img0149.jpg
137,150,img0150.jpg
138,151,img0151.jpg
139,152,img0152.jpg
140,153,img0153.jpg
141,154,img0154.jpg
142,155,img0155.jpg
143,156,img0156.jpg
144,157,img0157.jpg
145,158,img0158.jpg
146,159,img0159.jpg
147,160,img0160.jpg
148,161,img0161.jpg
149,162,img0162.jpg
150,163,img0163.jpg
151,164,img0164.jpg
152,165,img0165.jpg
153,166,img0166.jpg
154,167,img0167.jpg
